CONGRESS 2012 to 2020 in ALASKA,,,,,,,,,,,,,,,,,,,,,,,
House,California,N/A,2016,District 9,9,20120101,"98,992","Amador, Antonio C.",Challenger,"133,163","McNerney, Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,"34,171",D,0,42.64,57.36,
House,California,N/A,2014,District 9,9,20120101,"57,729","Amador, Antonio C.",Challenger,"63,475","McNerney, Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,"5,746",D,0,47.63,52.37,
House,California,N/A,2012,District 9,9,20120101,"94,704","Gill, Ricky",Challenger,"118,373","McNerney, Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,"23,669",D,0,44.45,55.55,
House,California,N/A,2018,District 10,10,20120101,"105,955","Denham, Jeff",Incumbent,"115,945","Harder, Josh",Challenger,N/A,N/A,N/A,N/A,N/A,"9,990",D,0,47.75,52.25,
House,California,N/A,2016,District 10,10,20120101,"124,671","Denham, Jeff",Incumbent,"116,470","Eggman, Michael",Challenger,N/A,N/A,N/A,N/A,N/A,"8,201",R,0,51.7,48.3,
House,California,N/A,2014,District 10,10,20120101,"70,582","Denham, Jeff",Incumbent,"55,123","Eggman, Michael",Challenger,N/A,N/A,N/A,N/A,N/A,"15,459",R,0,56.15,43.85,
House,California,N/A,2012,District 10,10,20120101,"110,265","Denham, Jeff",Incumbent,"98,934","Hernandez, Jose",Challenger,N/A,N/A,N/A,N/A,N/A,"11,331",R,0,52.71,47.29,
House,California,N/A,2018,District 11,11,20120101,"71,312","Fitzgerald, John",Challenger,"204,369","DeSaulnier, Mark",Incumbent,N/A,N/A,N/A,N/A,N/A,"133,057",D,0,25.87,74.13,
House,California,N/A,2016,District 11,11,20120101,"83,341","Petersen, Roger Allen",Challenger,"214,868","DeSaulnier, Mark",Incumbent,N/A,N/A,N/A,N/A,N/A,"131,527",D,0,27.95,72.05,
House,California,N/A,2014,District 11,11,20120101,"57,160","Phan-Quang, Tue",Challenger,"117,502","DeSaulnier, Mark",Challenger,N/A,N/A,N/A,N/A,N/A,"60,342",D,0,32.73,67.27,
House,California,N/A,2012,District 11,11,20120101,"87,136","Fuller, Virginia",Challenger,"200,743","Miller, George",Incumbent,N/A,N/A,N/A,N/A,N/A,"113,607",D,0,30.27,69.73,
House,California,N/A,2018,District 12,12,20120101,"41,780","Remmer, Lisa",Challenger,"275,292","Pelosi, Nancy",Incumbent,N/A,N/A,N/A,N/A,N/A,"233,512",D,0,13.18,86.82,
House,California,N/A,2016,District 12,12,20120101,N/A,N/A,N/A,"274,035","Pelosi, Nancy",Incumbent,No Party Affiliation,"64,810","Picus, Preston",Challenger,N/A,"209,225",D,19.13,0,100,
House,California,N/A,2014,District 12,12,20120101,"32,197","Dennis, John",Challenger,"160,067","Pelosi, Nancy",Incumbent,N/A,N/A,N/A,N/A,N/A,"127,870",D,0,16.75,83.25,
House,California,N/A,2012,District 12,12,20120101,"44,478","Dennis, John",Challenger,"253,709","Pelosi, Nancy",Incumbent,N/A,N/A,N/A,N/A,N/A,"209,231",D,0,14.92,85.08,
House,California,N/A,2018,District 13,13,20120101,N/A,N/A,N/A,"260,580","Lee, Barbara",Incumbent,Green,"34,257","Wells, Laura",Challenger,N/A,"226,323",D,11.62,0,100,
House,California,N/A,2016,District 13,13,20120101,"29,754","Caro, Sue",Challenger,"293,117","Lee, Barbara",Incumbent,N/A,N/A,N/A,N/A,N/A,"263,363",D,0,9.22,90.78,
House,California,N/A,2014,District 13,13,20120101,"21,940","Sundeen, Dakin",Challenger,"168,491","Lee, Barbara",Incumbent,N/A,N/A,N/A,N/A,N/A,"146,551",D,0,11.52,88.48,
House,California,N/A,2012,District 13,13,20120101,N/A,N/A,N/A,"250,436","Lee, Barbara",Incumbent,No Party Affiliation,"38,146","Singleton, Marilyn",Challenger,N/A,"212,290",D,13.22,0,100,
House,California,N/A,2018,District 14,14,20120101,"55,439","Osmena, Cristina",Challenger,"211,384","Speier, Jackie",Incumbent,N/A,N/A,N/A,N/A,N/A,"155,945",D,0,20.78,79.22,
House,California,N/A,2016,District 14,14,20120101,"54,817","Cardenas, Angel",Challenger,"231,630","Speier, Jackie",Incumbent,N/A,N/A,N/A,N/A,N/A,"176,813",D,0,19.14,80.86,
House,California,N/A,2014,District 14,14,20120101,"34,757","Chew, Robin",Challenger,"114,389","Speier, Jackie",Incumbent,N/A,N/A,N/A,N/A,N/A,"79,632",D,0,23.3,76.7,
House,California,N/A,2012,District 14,14,20120101,"54,455","Bacigalupi, Deborah",Challenger,"203,828","Speier, Jackie",Incumbent,N/A,N/A,N/A,N/A,N/A,"149,373",D,0,21.08,78.92,
House,California,N/A,2018,District 15,15,20120101,"65,940","Peters, Rudy Jr.",Challenger,"177,989","Swalwell, Eric",Incumbent,N/A,N/A,N/A,N/A,N/A,"112,049",D,0,27.03,72.97,
House,California,N/A,2016,District 15,15,20120101,"70,619","Turner, Danny R.",Challenger,"198,578","Swalwell, Eric",Incumbent,N/A,N/A,N/A,N/A,N/A,"127,959",D,0,26.23,73.77,
House,California,N/A,2014,District 15,15,20120101,"43,150","Bussell, Hugh",Challenger,"99,756","Swalwell, Eric",Incumbent,N/A,N/A,N/A,N/A,N/A,"56,606",D,0,30.19,69.81,
House,California,N/A,2012,District 15,15,20120101,N/A,N/A,N/A,"120,388","Swalwell, Eric",Challenger,Democrat-Open Primary,"110,646","Stark, Fortney Pete",Incumbent,N/A,"9,742",D,47.89,0,100,
House,California,N/A,2018,District 16,16,20120101,"60,693","Heng, Elizabeth",Challenger,"82,266","Costa, Jim",Incumbent,N/A,N/A,N/A,N/A,N/A,"21,573",D,0,42.45,57.55,
House,California,N/A,2016,District 16,16,20120101,"70,483","Tacherra, Johnny M.",Challenger,"97,473","Costa, Jim",Incumbent,N/A,N/A,N/A,N/A,N/A,"26,990",D,0,41.97,58.03,
House,California,N/A,2014,District 16,16,20120101,"44,943","Tacherra, Johnny M.",Challenger,"46,277","Costa, Jim",Incumbent,N/A,N/A,N/A,N/A,N/A,"1,334",D,0,49.27,50.73,
House,California,N/A,2012,District 16,16,20120101,"62,801","Whelan, Brian Daniel",Challenger,"84,649","Costa, Jim",Incumbent,N/A,N/A,N/A,N/A,N/A,"21,848",D,0,42.59,57.41,
House,California,N/A,2018,District 17,17,20120101,"52,057","Cohen, Ronald",Challenger,"159,105","Khanna, Ro",Incumbent,N/A,N/A,N/A,N/A,N/A,"107,048",D,0,24.65,75.35,
House,California,N/A,2016,District 17,17,20120101,N/A,N/A,N/A,"90,924","Honda, Mike M.",Incumbent,Democrat-Open Primary,"142,268","Khanna, Ro",Challenger,N/A,"51,344",DOP,61.01,0,100,
House,California,N/A,2014,District 17,17,20120101,N/A,N/A,N/A,"69,561","Honda, Mike M.",Incumbent,Democrat-Open Primary,"64,847","Khanna, Ro",Challenger,N/A,"4,714",D,48.25,0,100,
House,California,N/A,2012,District 17,17,20120101,"57,336","Li, Evelyn",Challenger,"159,392","Honda, Mike M.",Incumbent,N/A,N/A,N/A,N/A,N/A,"102,056",D,0,26.46,73.54,
House,California,N/A,2018,District 18,18,20120101,"77,096","Russell, Christine",Challenger,"225,142","Eshoo, Anna G.",Incumbent,N/A,N/A,N/A,N/A,N/A,"148,046",D,0,25.51,74.49,
House,California,N/A,2016,District 18,18,20120101,"93,470","Fox, Richard B.",Challenger,"230,460","Eshoo, Anna G.",Incumbent,N/A,N/A,N/A,N/A,N/A,"136,990",D,0,28.85,71.15,
House,California,N/A,2014,District 18,18,20120101,"63,326","Fox, Richard B.",Challenger,"133,060","Eshoo, Anna G.",Incumbent,N/A,N/A,N/A,N/A,N/A,"69,734",D,0,32.25,67.75,
House,California,N/A,2012,District 18,18,20120101,"89,103","Chapman, Dave",Challenger,"212,831","Eshoo, Anna G.",Incumbent,N/A,N/A,N/A,N/A,N/A,"123,728",D,0,29.51,70.49,
House,California,N/A,2018,District 19,19,20120101,"57,823","Aguilera, Justin James",Challenger,"162,496","Lofgren, Zoe",Incumbent,N/A,N/A,N/A,N/A,N/A,"104,673",D,0,26.25,73.75,
House,California,N/A,2016,District 19,19,20120101,"64,061","Lancaster, G. Burt",Challenger,"181,802","Lofgren, Zoe",Incumbent,N/A,N/A,N/A,N/A,N/A,"117,741",D,0,26.06,73.94,
House,California,N/A,2014,District 19,19,20120101,N/A,N/A,N/A,"85,888","Lofgren, Zoe",Incumbent,Democrat-Open Primary,"41,900","Murray, Robert",Challenger,N/A,"43,988",D,32.79,0,100,
House,California,N/A,2012,District 19,19,20120101,"59,313","Murray, Robert",Challenger,"162,300","Lofgren, Zoe",Incumbent,N/A,N/A,N/A,N/A,N/A,"102,987",D,0,26.76,73.24,
House,California,N/A,2018,District 20,20,20120101,N/A,N/A,N/A,"183,677","Panetta, Jimmy",Incumbent,No Party Affiliation,"42,044","Kabat, Ronald Paul",Challenger,N/A,"141,633",D,18.63,0,100,
House,California,N/A,2016,District 20,20,20120101,"74,811","Lucius, Casey",Challenger,"180,980","Panetta, Jimmy",Challenger,N/A,N/A,N/A,N/A,N/A,"106,169",D,0,29.25,70.75,
House,California,N/A,2014,District 20,20,20120101,N/A,N/A,N/A,"106,034","Farr, Sam",Incumbent,Independent,"35,010","Kabat, Ronald Paul",Challenger,N/A,"71,024",D,24.82,0,100,
House,California,N/A,2012,District 20,20,20120101,"60,566","Taylor, Jeff",Challenger,"172,996","Farr, Sam",Incumbent,N/A,N/A,N/A,N/A,N/A,"112,430",D,0,25.93,74.07,
House,California,N/A,2018,District 21,21,20120101,"56,377","Valadao, David",Incumbent,"57,239","Cox, T.J.",Challenger,N/A,N/A,N/A,N/A,N/A,862,D,0,49.62,50.38,
House,California,N/A,2016,District 21,21,20120101,"75,126","Valadao, David",Incumbent,"57,282","Huerta, Emilio Jesus",Challenger,N/A,N/A,N/A,N/A,N/A,"17,844",R,0,56.74,43.26,
House,California,N/A,2014,District 21,21,20120101,"45,907","Valadao, David",Incumbent,"33,470","Renteria, Amanda",Challenger,N/A,N/A,N/A,N/A,N/A,"12,437",R,0,57.83,42.17,
House,California,N/A,2012,District 21,21,20120101,"67,164","Valadao, David",Challenger,"49,119","Hernandez, John",Challenger,N/A,N/A,N/A,N/A,N/A,"18,045",R,0,57.76,42.24,
House,California,N/A,2018,District 22,22,20120101,"117,243","Nunes, Devin",Incumbent,"105,136","Janz, Andrew",Challenger,N/A,N/A,N/A,N/A,N/A,"12,107",R,0,52.72,47.28,
House,California,N/A,2016,District 22,22,20120101,"158,755","Nunes, Devin",Incumbent,"76,211","Campos, Louie J.",Challenger,N/A,N/A,N/A,N/A,N/A,"82,544",R,0,67.57,32.43,
House,California,N/A,2014,District 22,22,20120101,"96,053","Nunes, Devin",Incumbent,"37,289","Aguilera-Marrero, Suzanna",Challenger,N/A,N/A,N/A,N/A,N/A,"58,764",R,0,72.04,27.96,
House,California,N/A,2012,District 22,22,20120101,"132,386","Nunes, Devin",Incumbent,"81,555","Lee, Otto",Challenger,N/A,N/A,N/A,N/A,N/A,"50,831",R,0,61.88,38.12,
House,California,N/A,2018,District 23,23,20120101,"131,113","McCarthy, Kevin",Incumbent,"74,661","Matta, Tatiana",Challenger,N/A,N/A,N/A,N/A,N/A,"56,452",R,0,63.72,36.28,
House,California,N/A,2016,District 23,23,20120101,"167,116","McCarthy, Kevin",Incumbent,"74,468","Reed, Wendy",Challenger,N/A,N/A,N/A,N/A,N/A,"92,648",R,0,69.18,30.82,
House,California,N/A,2014,District 23,23,20120101,"100,317","McCarthy, Kevin",Incumbent,"33,726","Garcia, Raul",Challenger,N/A,N/A,N/A,N/A,N/A,"66,591",R,0,74.84,25.16,
House,California,N/A,2012,District 23,23,20120101,"158,161","McCarthy, Kevin",Incumbent,N/A,N/A,N/A,No Party Affiliation,"57,842","Phillips, Terry",Challenger,N/A,"100,319",R,26.78,100,0,
House,California,N/A,2018,District 24,24,20120101,"117,881","Fareed, Justin",Challenger,"166,550","Carbajal, Salud",Incumbent,N/A,N/A,N/A,N/A,N/A,"48,669",D,0,41.44,58.56,
House,California,N/A,2016,District 24,24,20120101,"144,780","Fareed, Justin",Challenger,"166,034","Carbajal, Salud",Challenger,N/A,N/A,N/A,N/A,N/A,"21,254",D,0,46.58,53.42,
House,California,N/A,2014,District 24,24,20120101,"95,566","Mitchum, Chris",Challenger,"103,228","Capps, Lois",Incumbent,N/A,N/A,N/A,N/A,N/A,"7,662",D,0,48.07,51.93,
House,California,N/A,2012,District 24,24,20120101,"127,746","Maldonado, Abel",Challenger,"156,749","Capps, Lois",Incumbent,N/A,N/A,N/A,N/A,N/A,"29,003",D,0,44.9,55.1,
House,California,N/A,2018,District 25,25,20120101,"111,813","Knight, Steve",Incumbent,"133,209","Hill, Katie",Challenger,N/A,N/A,N/A,N/A,N/A,"21,396",D,0,45.63,54.37,
House,California,N/A,2016,District 25,25,20120101,"138,755","Knight, Steve",Incumbent,"122,406","Caforio, Bryan",Challenger,N/A,N/A,N/A,N/A,N/A,"16,349",R,0,53.13,46.87,
House,California,N/A,2014,District 25,25,20120101,"60,847","Knight, Steve",Challenger,N/A,N/A,N/A,Republican,"53,225","Strickland, Tony",Challenger,N/A,"7,622",R,46.66,100,0,
House,California,N/A,2012,District 25,25,20120101,"129,593","McKeon, Howard P.",Incumbent,"106,982","Rogers, Lee C.",Challenger,N/A,N/A,N/A,N/A,N/A,"22,611",R,0,54.78,45.22,
House,California,N/A,2018,District 26,26,20120101,"97,210","Sabato, Antonio Jr.",Challenger,"158,216","Brownley, Julia",Incumbent,N/A,N/A,N/A,N/A,N/A,"61,006",D,0,38.06,61.94,
House,California,N/A,2016,District 26,26,20120101,"111,059","Dagnesses, Rafael",Challenger,"169,248","Brownley, Julia",Incumbent,N/A,N/A,N/A,N/A,N/A,"58,189",D,0,39.62,60.38,
House,California,N/A,2014,District 26,26,20120101,"82,653","Gorell, Jeff",Challenger,"87,176","Brownley, Julia",Incumbent,N/A,N/A,N/A,N/A,N/A,"4,523",D,0,48.67,51.33,
House,California,N/A,2012,District 26,26,20120101,"124,863","Strickland, Tony",Challenger,"139,072","Brownley, Julia",Challenger,N/A,N/A,N/A,N/A,N/A,"14,209",D,0,47.31,52.69,
House,California,N/A,2018,District 27,27,20120101,N/A,N/A,N/A,"160,504","Chu, Judy",Incumbent,Democrat-Open Primary,"42,132","Witt, Bryan",Challenger,N/A,"118,372",D,20.79,0,100,
House,California,N/A,2016,District 27,27,20120101,"81,655","Orswell, Jack",Challenger,"168,977","Chu, Judy",Incumbent,N/A,N/A,N/A,N/A,N/A,"87,322",D,0,32.58,67.42,
House,California,N/A,2014,District 27,27,20120101,"51,852","Orswell, Jack",Challenger,"75,728","Chu, Judy",Incumbent,N/A,N/A,N/A,N/A,N/A,"23,876",D,0,40.64,59.36,
House,California,N/A,2012,District 27,27,20120101,"86,817","Orswell, Jack",Challenger,"154,191","Chu, Judy",Incumbent,N/A,N/A,N/A,N/A,N/A,"67,374",D,0,36.02,63.98,
House,California,N/A,2018,District 28,28,20120101,"54,272","Nalbandian, Johnny",Challenger,"196,662","Schiff, Adam B.",Incumbent,N/A,N/A,N/A,N/A,N/A,"142,390",D,0,21.63,78.37,
House,California,N/A,2016,District 28,28,20120101,"59,526","Solis, Lenore",Challenger,"210,883","Schiff, Adam B.",Incumbent,N/A,N/A,N/A,N/A,N/A,"151,357",D,0,22.01,77.99,
House,California,N/A,2014,District 28,28,20120101,N/A,N/A,N/A,"91,996","Schiff, Adam B.",Incumbent,Independent,"28,268","Stokes, Steve",Challenger,N/A,"63,728",D,23.5,0,100,
House,California,N/A,2012,District 28,28,20120101,"58,008","Jennerjahn, Phil",Challenger,"188,703","Schiff, Adam B.",Incumbent,N/A,N/A,N/A,N/A,N/A,"130,695",D,0,23.51,76.49,
House,California,N/A,2018,District 29,29,20120101,"29,995","Bernal, Benito Benny",Challenger,"124,697","Cardenas, Tony",Incumbent,N/A,N/A,N/A,N/A,N/A,"94,702",D,0,19.39,80.61,
House,California,N/A,2016,District 29,29,20120101,N/A,N/A,N/A,"128,407","Cardenas, Tony",Incumbent,Democrat,"43,417","Alarcon, Richard",Challenger,N/A,"84,990",D,25.27,0,100,
House,California,N/A,2014,District 29,29,20120101,"17,045","Leader, William O'Callghan",Challenger,"50,096","Cardenas, Tony",Incumbent,N/A,N/A,N/A,N/A,N/A,"33,051",D,0,25.39,74.61,
House,California,N/A,2012,District 29,29,20120101,N/A,N/A,N/A,"111,287","Cárdenas, Tony",Challenger,No Party Affiliation,"38,994","Hernandez, David R. Jr.",Challenger,N/A,"72,293",D,25.95,0,100,
House,California,N/A,2018,District 30,30,20120101,"69,420","Reed, Mark",Challenger,"191,573","Sherman, Brad",Incumbent,N/A,N/A,N/A,N/A,N/A,"122,153",D,0,26.6,73.4,
House,California,N/A,2016,District 30,30,20120101,"77,325","Reed, Mark",Challenger,"205,279","Sherman, Brad",Incumbent,N/A,N/A,N/A,N/A,N/A,"127,954",D,0,27.36,72.64,
House,California,N/A,2014,District 30,30,20120101,"45,315","Reed, Mark",Challenger,"86,568","Sherman, Brad",Incumbent,N/A,N/A,N/A,N/A,N/A,"41,253",D,0,34.36,65.64,
House,California,N/A,2012,District 30,30,20120101,N/A,N/A,N/A,"149,456","Sherman, Brad",Challenger,Democrat-Open Primary,"98,395","Berman, Howard L.",Incumbent,N/A,"51,061",D,39.7,0,100,
House,California,N/A,2018,District 31,31,20120101,"77,352","Flynn, Sean",Challenger,"110,143","Aguilar, Pete",Incumbent,N/A,N/A,N/A,N/A,N/A,"32,791",D,0,41.26,58.74,
House,California,N/A,2016,District 31,31,20120101,"94,866","Chabot, Paul",Challenger,"121,070","Aguilar, Pete",Incumbent,N/A,N/A,N/A,N/A,N/A,"26,204",D,0,43.93,56.07,
House,California,N/A,2014,District 31,31,20120101,"48,162","Chabot, Paul",Challenger,"51,622","Aguilar, Pete",Challenger,N/A,N/A,N/A,N/A,N/A,"3,460",D,0,48.27,51.73,
House,California,N/A,2012,District 31,31,20120101,"88,964","Miller, Gary G.",Incumbent,N/A,N/A,N/A,Republican-Open Primary,"72,255","Dutton, Robert",Challenger,N/A,"16,709",R,44.82,100,0,
House,California,N/A,2018,District 32,32,20120101,"55,272","Scott, Joshua M.",Challenger,"121,759","Napolitano, Grace Flores",Incumbent,N/A,N/A,N/A,N/A,N/A,"66,487",D,0,31.22,68.78,
House,California,N/A,2016,District 32,32,20120101,N/A,N/A,N/A,"114,926","Napolitano, Grace Flores",Incumbent,Democrat-Open Primary,"71,720","Hernandez, Roger",Challenger,N/A,"43,206",D,38.43,0,100,
House,California,N/A,2014,District 32,32,20120101,"34,053","Alas, Arturo",Challenger,"50,353","Napolitano, Grace Flores",Incumbent,N/A,N/A,N/A,N/A,N/A,"16,300",D,0,40.34,59.66,
House,California,N/A,2012,District 32,32,20120101,"65,208","Miller, David L",Challenger,"124,903","Napolitano, Grace Flores",Incumbent,N/A,N/A,N/A,N/A,N/A,"59,695",D,0,34.3,65.7,
House,California,N/A,2018,District 33,33,20120101,"93,769","Wright, Kenneth W.",Challenger,"219,091","Lieu, Ted W.",Incumbent,N/A,N/A,N/A,N/A,N/A,"125,322",D,0,29.97,70.03,
House,California,N/A,2016,District 33,33,20120101,"110,822","Wright, Kenneth W.",Challenger,"219,397","Lieu, Ted W.",Incumbent,N/A,N/A,N/A,N/A,N/A,"108,575",D,0,33.56,66.44,
House,California,N/A,2014,District 33,33,20120101,"74,700","Carr, Elan S.",Challenger,"108,331","Lieu, Ted W.",Challenger,N/A,N/A,N/A,N/A,N/A,"33,631",D,0,40.81,59.19,
House,California,N/A,2012,District 33,33,20120101,N/A,N/A,N/A,"171,860","Waxman, Henry A.",Incumbent,No Party Affiliation,"146,660","Bloomfield, Bill",Challenger,N/A,"25,200",D,46.04,0,100,
House,California,N/A,2018,District 34,34,20120101,N/A,N/A,N/A,"110,195","Gomez, Jimmy",Incumbent,Green,"41,711","Mejia, Kenneth",Challenger,N/A,"68,484",D,27.46,0,100,
House,California,N/A,2016,District 34,34,20120101,N/A,N/A,N/A,"122,842","Becerra, Xavier",Incumbent,Democrat-Open Primary,"36,314","Edwards, Adrienne Nicole",Challenger,N/A,"86,528",D,22.82,0,100,
House,California,N/A,2014,District 34,34,20120101,N/A,N/A,N/A,"44,697","Becerra, Xavier",Incumbent,Democrat-Open Primary,"16,924","Edwards, Adrienne Nicole",Challenger,N/A,"27,773",D,27.46,0,100,
House,California,N/A,2012,District 34,34,20120101,"20,223","Smith, Stephen",Challenger,"120,367","Becerra, Xavier",Incumbent,N/A,N/A,N/A,N/A,N/A,"100,144",D,0,14.38,85.62,
House,California,N/A,2018,District 35,35,20120101,"45,604","Valiente, Christian Leonel",Challenger,"103,420","Torres, Norma",Incumbent,N/A,N/A,N/A,N/A,N/A,"57,816",D,0,30.6,69.4,
House,California,N/A,2016,District 35,35,20120101,"47,309","Fischella, Tyler",Challenger,"124,044","Torres, Norma",Incumbent,N/A,N/A,N/A,N/A,N/A,"76,735",D,0,27.61,72.39,
House,California,N/A,2014,District 35,35,20120101,N/A,N/A,N/A,"39,502","Torres, Norma",Challenger,Democrat-Open Primary,"22,973","Gagnier, Christina",Challenger,N/A,"16,529",D,36.77,0,100,
House,California,N/A,2012,District 35,35,20120101,N/A,N/A,N/A,"79,698","McLeod, Gloria Negrete",Challenger,Democrat-Open Primary,"62,982","Baca, Joe",Incumbent,N/A,"16,716",D,44.14,0,100,
House,California,N/A,2018,District 36,36,20120101,"84,839","Pelzer, Kimberlin",Challenger,"122,169","Ruiz, Raul",Incumbent,N/A,N/A,N/A,N/A,N/A,"37,330",D,0,40.98,59.02,
House,California,N/A,2016,District 36,36,20120101,"88,269","Stone, Jeff",Challenger,"144,348","Ruiz, Raul",Incumbent,N/A,N/A,N/A,N/A,N/A,"56,079",D,0,37.95,62.05,
House,California,N/A,2014,District 36,36,20120101,"61,457","Nestande, Brian",Challenger,"72,682","Ruiz, Raul",Incumbent,N/A,N/A,N/A,N/A,N/A,"11,225",D,0,45.82,54.18,
House,California,N/A,2012,District 36,36,20120101,"97,953","Bono Mack, Mary",Incumbent,"110,189","Ruiz, Raul",Challenger,N/A,N/A,N/A,N/A,N/A,"12,236",D,0,47.06,52.94,
House,California,N/A,2018,District 37,37,20120101,"25,823","Bassilian, Ron",Challenger,"210,555","Bass, Karen",Incumbent,N/A,N/A,N/A,N/A,N/A,"184,732",D,0,10.92,89.08,
