CONGRESS 2012 to 2020 in IDAHO,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Idaho,N/A,2018,District 1,1,20120101,"197,719","Fulcher, Russell M.",Challenger,"96,922","McNeil, Cristina",Challenger,Independent,"6,188","Fleming, Natalie M.",Challenger,"14,240","100,797",R,1.96,67.11,32.89,"The other vote was: Howard, William S. (Libertarian) 5,435; Farmer, Paul (Independent) 4,479; Richardson, Marvin (Constitution) 3,181; Counsil, Gordon (Independent) 1,054; Rath, Michael J. (Write-in) 91"
House,Idaho,N/A,2016,District 1,1,20120101,"242,252","Labrador, Raul R.",Incumbent,"113,052","Piotrowski, James",Challenger,Write-in,53,Write-In,Challenger,N/A,"129,200",R,0.01,68.18,31.82,
House,Idaho,N/A,2014,District 1,1,20120101,"143,580","Labrador, Raul R.",Incumbent,"77,277","Ringo, Shirley G.",Challenger,Write-in,7,"McCandless, Reed C.",Challenger,N/A,"66,303",R,0,65.01,34.99,
House,Idaho,N/A,2012,District 1,1,20120101,"199,402","Labrador, Raul R.",Incumbent,"97,450","Farris, Jimmy",Challenger,Libertarian,"12,265","Oates, Rob",Challenger,"7,607","101,952",R,3.87,67.17,32.83,"The other vote was: Pro-Life (Independent) 7,607"
House,Idaho,N/A,2018,District 2,2,20120101,"170,274","Simpson, Michael K.",Incumbent,"110,381","Swisher, Aaron",Challenger,N/A,N/A,N/A,N/A,N/A,"59,893",R,0,60.67,39.33,
House,Idaho,N/A,2016,District 2,2,20120101,"205,292","Simpson, Michael K.",Incumbent,"95,940","Martinez, Jennifer",Challenger,Constitution,"25,005","Tomkins, Anthony",Challenger,N/A,"109,352",R,7.66,68.15,31.85,
House,Idaho,N/A,2014,District 2,2,20120101,"131,492","Simpson, Michael K.",Incumbent,"82,801","Stallings, Richard",Challenger,N/A,N/A,N/A,N/A,N/A,"48,691",R,0,61.36,38.64,
House,Idaho,N/A,2012,District 2,2,20120101,"207,412","Simpson, Michael K.",Incumbent,"110,847","LeFavour, Nicole",Challenger,Write-in,235,"Chappell, Jack Wayne",Challenger,N/A,"96,565",R,0.07,65.17,34.83,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CONGRESS 2012 to 2020 in ILLINOIS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Illinois,N/A,2018,District 1,1,20120101,"50,960","Tillman, Jimmy Lee II",Challenger,"189,560","Rush, Bobby L.",Incumbent,Independent,"17,365","Rudbeck, Thomas",Challenger,N/A,"138,600",D,6.73,21.19,78.81,
House,Illinois,N/A,2016,District 1,1,20120101,"81,817","Deuser, August (O'Neill)",Challenger,"234,037","Rush, Bobby L.",Incumbent,Write-in,8,"Carson, Tabitha",Challenger,N/A,"152,220",D,0,25.9,74.1,
House,Illinois,N/A,2014,District 1,1,20120101,"59,749","Tillman, Jimmy Lee II",Challenger,"162,268","Rush, Bobby L.",Incumbent,N/A,N/A,N/A,N/A,N/A,"102,519",D,0,26.91,73.09,
House,Illinois,N/A,2012,District 1,1,20120101,"83,989","Peloquin, Donald E.",Challenger,"236,854","Rush, Bobby L.",Incumbent,Write-in,1,"Hawkins, John",Challenger,N/A,"152,865",D,0,26.18,73.82,
House,Illinois,N/A,2018,District 2,2,20120101,"44,567","Merkle, David",Challenger,"190,684","Kelly, Robin L.",Incumbent,N/A,N/A,N/A,N/A,N/A,"146,117",D,0,18.94,81.06,
House,Illinois,N/A,2016,District 2,2,20120101,"59,471","Morrow, John F.",Challenger,"235,051","Kelly, Robin L.",Incumbent,Write-in,N/A,"Reynolds, James",Challenger,N/A,"175,580",D,0,20.19,79.81,
House,Illinois,N/A,2014,District 2,2,20120101,"43,799","Wallace, Eric M.",Challenger,"160,337","Kelly, Robin L.",Incumbent,Write-in,130,"Lewis, Marcus",Challenger,N/A,"116,538",D,0.06,21.46,78.54,
House,Illinois,N/A,2012,District 2,2,20120101,"69,115","Woodworth, Brian",Challenger,"188,303","Jackson, Jesse L. Jr.",Incumbent,Independent,"40,006","Lewis, Marcus",Challenger,288,"119,188",D,13.44,26.85,73.15,"The other vote was: Williams, Anthony W. (Write-in) 288"
House,Illinois,N/A,2018,District 3,3,20120101,"57,885","Jones, Arthur J.",Challenger,"163,053","Lipinski, Daniel William",Incumbent,Write-in,"1,353","Hanson, Justin",Challenger,"1,043","105,168",D,0.61,26.2,73.8,"The other vote was: Yerkes, Kenneth (Write-in) 1,039; Mayers, Richard Benedict (Write-in) 4"
House,Illinois,N/A,2016,District 3,3,20120101,N/A,N/A,N/A,"225,320","Lipinski, Daniel William",Incumbent,Write-in,91,"Harris, Diane M.",Challenger,N/A,"225,229",D,0.04,0,100,
House,Illinois,N/A,2014,District 3,3,20120101,"64,091","Brannigan, Sharon M.",Challenger,"116,764","Lipinski, Daniel William",Incumbent,N/A,N/A,N/A,N/A,N/A,"52,673",D,0,35.44,64.56,
House,Illinois,N/A,2012,District 3,3,20120101,"77,653","Grabowski, Richard",Challenger,"168,738","Lipinski, Daniel William",Incumbent,Write-in,7,"Anderson, Laura",Challenger,N/A,"91,085",D,0,31.52,68.48,
House,Illinois,N/A,2018,District 4,4,20120101,"22,294","Lorch, Mark Wayne",Challenger,"143,895","Garcia, Jesus",Challenger,N/A,N/A,N/A,N/A,N/A,"121,601",D,0,13.41,86.59,
House,Illinois,N/A,2016,District 4,4,20120101,N/A,N/A,N/A,"171,297","Gutierrez, Luis V.",Incumbent,N/A,N/A,N/A,N/A,N/A,"171,297",D,0,0,100,
House,Illinois,N/A,2014,District 4,4,20120101,"22,278","Concepcion, Hector",Challenger,"79,666","Gutierrez, Luis V.",Incumbent,N/A,N/A,N/A,N/A,N/A,"57,388",D,0,21.85,78.15,
House,Illinois,N/A,2012,District 4,4,20120101,"27,279","Concepcion, Hector",Challenger,"133,226","Gutierrez, Luis V.",Incumbent,Write-in,4,"Viramontes, Ymelda",Challenger,N/A,"105,947",D,0,17,83,
House,Illinois,N/A,2018,District 5,5,20120101,"65,134","Hanson, Tom",Challenger,"213,992","Quigley, Mike",Incumbent,Write-in,5,"Rowder, Frank",Challenger,N/A,"148,858",D,0,23.33,76.67,
House,Illinois,N/A,2016,District 5,5,20120101,"86,222","Kolber, Vincent A.",Challenger,"212,842","Quigley, Mike",Incumbent,Green,"14,657","Sherman, Rob",Challenger,3,"126,620",D,4.67,28.83,71.17,"The other vote was: Krynski, Michael (Write-in) 3"
House,Illinois,N/A,2014,District 5,5,20120101,"56,350","Kolber, Vincent A.",Challenger,"116,364","Quigley, Mike",Incumbent,Green,"11,305","Wade, Nancy",Challenger,N/A,"60,014",D,6.14,32.63,67.37,
House,Illinois,N/A,2012,District 5,5,20120101,"77,289","Schmitt, Dan",Challenger,"177,729","Quigley, Mike",Incumbent,Green,"15,359","Wade, Nancy",Challenger,N/A,"100,440",D,5.68,30.31,69.69,
House,Illinois,N/A,2018,District 6,6,20120101,"146,445","Roskam, Peter J.",Incumbent,"169,001","Casten, Sean",Challenger,N/A,N/A,N/A,N/A,N/A,"22,556",D,0,46.42,53.58,
House,Illinois,N/A,2016,District 6,6,20120101,"208,555","Roskam, Peter J.",Incumbent,"143,591","Howland, Amanda",Challenger,N/A,N/A,N/A,N/A,N/A,"64,964",R,0,59.22,40.78,
House,Illinois,N/A,2014,District 6,6,20120101,"160,287","Roskam, Peter J.",Incumbent,"78,465","Mason, Michael",Challenger,N/A,N/A,N/A,N/A,N/A,"81,822",R,0,67.14,32.86,
House,Illinois,N/A,2012,District 6,6,20120101,"193,138","Roskam, Peter J.",Incumbent,"132,991","Coolidge, Leslie",Challenger,N/A,N/A,N/A,N/A,N/A,"60,147",R,0,59.22,40.78,
House,Illinois,N/A,2018,District 7,7,20120101,"30,497","Cameron, Craig",Challenger,"215,746","Davis, Danny K.",Incumbent,N/A,N/A,N/A,N/A,N/A,"185,249",D,0,12.38,87.62,
House,Illinois,N/A,2016,District 7,7,20120101,"46,882","Leef, Jeffrey A",Challenger,"250,584","Davis, Danny K.",Incumbent,N/A,N/A,N/A,N/A,N/A,"203,702",D,0,15.76,84.24,
House,Illinois,N/A,2014,District 7,7,20120101,"27,168","Bumpers, Robert L.",Challenger,"155,110","Davis, Danny K.",Incumbent,N/A,N/A,N/A,N/A,N/A,"127,942",D,0,14.9,85.1,
House,Illinois,N/A,2018,District 8,8,20120101,"67,073","Diganvker, Jitendra",Challenger,"130,054","Krishnamoorthi, Raja",Incumbent,N/A,N/A,N/A,N/A,N/A,"62,981",D,0,34.03,65.97,
House,Illinois,N/A,2012,District 7,7,20120101,"31,466","Zak, Rita",Challenger,"242,439","Davis, Danny K.",Incumbent,Independent,"12,523","Monaghan, John",Challenger,7,"210,973",D,4.37,11.49,88.51,"The other vote was: Collins, Phil (Write-in) 5; Richter, Dennis (Write-in) 2"
House,Illinois,N/A,2016,District 8,8,20120101,"103,617","DiCianni, Peter",Challenger,"144,954","Krishnamoorthi, Raja",Challenger,N/A,N/A,N/A,N/A,N/A,"41,337",D,0,41.69,58.31,
House,Illinois,N/A,2014,District 8,8,20120101,"66,878","Kaifesh, Lawrence Joseph",Challenger,"84,178","Duckworth, Tammy",Incumbent,N/A,N/A,N/A,N/A,N/A,"17,300",D,0,44.27,55.73,
House,Illinois,N/A,2012,District 8,8,20120101,"101,860","Walsh, Joe",Incumbent,"123,206","Duckworth, Tammy",Challenger,N/A,N/A,N/A,N/A,N/A,"21,346",D,0,45.26,54.74,
House,Illinois,N/A,2018,District 9,9,20120101,"76,983","Elleson, John D.",Challenger,"213,368","Schakowsky, Janice D.",Incumbent,N/A,N/A,N/A,N/A,N/A,"136,385",D,0,26.51,73.49,
House,Illinois,N/A,2016,District 9,9,20120101,"109,550","Lasonde, Joan McCarthy",Challenger,"217,306","Schakowsky, Janice D.",Incumbent,Write-in,79,"Williams III, David Earl",Challenger,13,"107,756",D,0.02,33.52,66.48,"The other vote was: Atanus, Susanne (Write-in) 13"
House,Illinois,N/A,2014,District 9,9,20120101,"72,384","Atanus, Susanne",Challenger,"141,000","Schakowsky, Janice D.",Incumbent,Write-in,66,"Collins, Phil",Challenger,N/A,"68,616",D,0.03,33.92,66.08,
House,Illinois,N/A,2012,District 9,9,20120101,"98,924","Wolfe, Timothy",Challenger,"194,869","Schakowsky, Janice D.",Incumbent,Write-in,8,"Shioura, Hilaire Fuji",Challenger,6,"95,945",D,0,33.67,66.33,"The other vote was: Atanus, Susanne (Write-in) 6"
House,Illinois,N/A,2018,District 10,10,20120101,"82,124","Bennett, Douglas R.",Challenger,"156,540","Schneider, Brad",Incumbent,N/A,N/A,N/A,N/A,N/A,"74,416",D,0,34.41,65.59,
House,Illinois,N/A,2016,District 10,10,20120101,"135,535","Dold, Robert",Incumbent,"150,435","Schneider, Brad",Challenger,Write-in,26,"Kopsick, Joseph William",Challenger,N/A,"14,900",D,0.01,47.39,52.61,
House,Illinois,N/A,2014,District 10,10,20120101,"95,992","Dold, Robert",Challenger,"91,136","Schneider, Brad",Incumbent,N/A,N/A,N/A,N/A,N/A,"4,856",R,0,51.3,48.7,
House,Illinois,N/A,2012,District 10,10,20120101,"130,564","Dold, Robert",Incumbent,"133,890","Schneider, Brad",Challenger,N/A,N/A,N/A,N/A,N/A,"3,326",D,0,49.37,50.63,
House,Illinois,N/A,2018,District 11,11,20120101,"82,358","Stella, Dominick J.",Challenger,"145,407","Foster, Bill",Incumbent,N/A,N/A,N/A,N/A,N/A,"63,049",D,0,36.16,63.84,
House,Illinois,N/A,2016,District 11,11,20120101,"108,995","Khouri, Tonia",Challenger,"166,578","Foster, Bill",Incumbent,N/A,N/A,N/A,N/A,N/A,"57,583",D,0,39.55,60.45,
House,Illinois,N/A,2014,District 11,11,20120101,"81,335","Senger, Darlene",Challenger,"93,436","Foster, Bill",Incumbent,Write-in,1,"Vlakancic, Constant G.",Challenger,N/A,"12,101",D,0,46.54,53.46,
House,Illinois,N/A,2012,District 11,11,20120101,"105,348","Biggert, Judy",Incumbent,"148,928","Foster, Bill",Challenger,Write-in,19,"Michel, Chris",Challenger,N/A,"43,580",D,0.01,41.43,58.57,
House,Illinois,N/A,2018,District 12,12,20120101,"134,884","Bost, Mike",Incumbent,"118,724","Kelly, Brendan",Challenger,Green,"7,935","Auxier, Randy",Challenger,N/A,"16,160",R,3.03,53.19,46.81,
House,Illinois,N/A,2016,District 12,12,20120101,"169,976","Bost, Mike",Incumbent,"124,246","Baricevic, Charles",Challenger,Green,"18,780","Bradshaw, Paula",Challenger,N/A,"45,730",R,6,57.77,42.23,
House,Illinois,N/A,2014,District 12,12,20120101,"110,038","Bost, Mike",Challenger,"87,860","Enyart, William",Incumbent,Green,"11,840","Bradshaw, Paula",Challenger,N/A,"22,178",R,5.65,55.6,44.4,
House,Illinois,N/A,2012,District 12,12,20120101,"129,902","Plummer, Jason",Challenger,"157,000","Enyart, William",Challenger,Green,"17,045","Bradshaw, Paula",Challenger,2,"27,098",D,5.61,45.28,54.72,"The other vote was: Horton, Shon-Tiyon (Write-in) 2"
House,Illinois,N/A,2018,District 13,13,20120101,"136,516","Davis, Rodney L.",Incumbent,"134,458","Dirksen Londrigan, Betsy",Challenger,Write-in,7,"Kuna, Thomas J.",Challenger,N/A,"2,058",R,0,50.38,49.62,
House,Illinois,N/A,2016,District 13,13,20120101,"187,583","Davis, Rodney L.",Incumbent,"126,811","Wicklund, Mark D.",Challenger,N/A,N/A,N/A,N/A,N/A,"60,772",R,0,59.66,40.34,
House,Illinois,N/A,2014,District 13,13,20120101,"123,337","Davis, Rodney L.",Incumbent,"86,935","Callis, Ann E.",Challenger,N/A,N/A,N/A,N/A,N/A,"36,402",R,0,58.66,41.34,
House,Illinois,N/A,2012,District 13,13,20120101,"137,034","Davis, Rodney L.",Challenger,"136,032","Gill, David M.",Challenger,Independent,"21,319","Hartman, John",Challenger,N/A,"1,002",R,7.24,50.18,49.82,
House,Illinois,N/A,2018,District 14,14,20120101,"141,164","Hultgren, Randy M.",Incumbent,"156,035","Underwood, Lauren",Challenger,N/A,N/A,N/A,N/A,N/A,"14,871",D,0,47.5,52.5,
House,Illinois,N/A,2016,District 14,14,20120101,"200,508","Hultgren, Randy M.",Incumbent,"137,589","Walz, Jim",Challenger,N/A,N/A,N/A,N/A,N/A,"62,919",R,0,59.3,40.7,
House,Illinois,N/A,2014,District 14,14,20120101,"145,369","Hultgren, Randy M.",Incumbent,"76,861","Anderson, Dennis",Challenger,N/A,N/A,N/A,N/A,N/A,"68,508",R,0,65.41,34.59,
House,Illinois,N/A,2012,District 14,14,20120101,"177,603","Hultgren, Randy M.",Incumbent,"124,351","Anderson, Dennis",Challenger,N/A,N/A,N/A,N/A,N/A,"53,252",R,0,58.82,41.18,
House,Illinois,N/A,2018,District 15,15,20120101,"181,294","Shimkus, John M.",Incumbent,"74,309","Gaither, Kevin",Challenger,Write-in,5,"Buckner, Tim E.",Challenger,N/A,"106,985",R,0,70.93,29.07,
House,Illinois,N/A,2016,District 15,15,20120101,"274,554","Shimkus, John M.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"274,554",R,0,100,0,
House,Illinois,N/A,2014,District 15,15,20120101,"166,274","Shimkus, John M.",Incumbent,"55,652","Thorsland, Eric",Challenger,N/A,N/A,N/A,N/A,N/A,"110,622",R,0,74.92,25.08,
House,Illinois,N/A,2012,District 15,15,20120101,"205,775","Shimkus, John M.",Incumbent,"94,162","Michael, Angela",Challenger,N/A,N/A,N/A,N/A,N/A,"111,613",R,0,68.61,31.39,
House,Illinois,N/A,2018,District 16,16,20120101,"151,254","Kinzinger, Adam",Incumbent,"104,569","Dady, Sara",Challenger,Write-in,2,"Stassi, John M.",Challenger,N/A,"46,685",R,0,59.12,40.88,
House,Illinois,N/A,2016,District 16,16,20120101,"259,722","Kinzinger, Adam",Incumbent,N/A,N/A,N/A,Write-in,131,"Burchardt, John F",Challenger,N/A,"259,591",R,0.05,100,0,
House,Illinois,N/A,2014,District 16,16,20120101,"153,388","Kinzinger, Adam",Incumbent,"63,810","Olsen, Randall Wayne",Challenger,N/A,N/A,N/A,N/A,N/A,"89,578",R,0,70.62,29.38,
House,Illinois,N/A,2012,District 16,16,20120101,"181,789","Kinzinger, Adam",Incumbent,"112,301","Rohl, Wanda",Challenger,N/A,N/A,N/A,N/A,N/A,"69,488",R,0,61.81,38.19,
House,Illinois,N/A,2018,District 17,17,20120101,"87,090","Fawell, Bill",Challenger,"142,659","Bustos, Cheri",Incumbent,N/A,N/A,N/A,N/A,N/A,"55,569",D,0,37.91,62.09,
House,Illinois,N/A,2016,District 17,17,20120101,"113,943","Harlan, Patrick",Challenger,"173,125","Bustos, Cheri",Incumbent,N/A,N/A,N/A,N/A,N/A,"59,182",D,0,39.69,60.31,
House,Illinois,N/A,2014,District 17,17,20120101,"88,785","Schilling, Bobby",Challenger,"110,560","Bustos, Cheri",Incumbent,Write-in,16,"Fawell, Bill",Challenger,N/A,"21,775",D,0.01,44.54,55.46,
House,Illinois,N/A,2012,District 17,17,20120101,"134,623","Schilling, Bobby",Incumbent,"153,519","Bustos, Cheri",Challenger,Write-in,10,"Reyes, Eric",Challenger,9,"18,896",D,0,46.72,53.28,"The other vote was: Faber, Joe (Write-in) 9"
House,Illinois,N/A,2018,District 18,18,20120101,"195,927","LaHood, Darin",Incumbent,"95,486","Rodriguez, Junius",Challenger,N/A,N/A,N/A,N/A,N/A,"100,441",R,0,67.23,32.77,
House,Illinois,N/A,2016,District 18,18,20120101,"250,506","LaHood, Darin",Incumbent,"96,770","Rodriguez, Junius",Challenger,Write-in,7,"Vance, Don",Challenger,N/A,"153,736",R,0,72.13,27.87,
House,Illinois,N/A,2014,District 18,18,20120101,"184,363","Schock, Aaron",Incumbent,"62,377","Miller, Darrel Ervin",Challenger,N/A,N/A,N/A,N/A,N/A,"121,986",R,0,74.72,25.28,
House,Illinois,N/A,2012,District 18,18,20120101,"244,467","Schock, Aaron",Incumbent,"85,164","Waterworth, Steve",Challenger,N/A,N/A,N/A,N/A,N/A,"159,303",R,0,74.16,25.84,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CONGRESS 2012 to 2020 in INDIANA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Office,State,CensusPop,raceYear,Area,AreaNumber,RedistrictedDate,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
House,Indiana,N/A,2018,District 1,1,20120101,"85,594","Leyva, Mark J.",Challenger,"159,611","Visclosky, Peter J.",Incumbent,Write-in,4,"Kleinman, Jonathan S.",Challenger,N/A,"74,017",D,0,34.91,65.09,
House,Indiana,N/A,2016,District 1,1,20120101,N/A,N/A,N/A,"207,515","Visclosky, Peter J.",Incumbent,Libertarian,"47,051","Dunn, Donna",Challenger,17,"160,464",D,18.48,0,100,"The other vote was: Meyer, John (Write-in) 17"
House,Indiana,N/A,2014,District 1,1,20120101,"51,000","Leyva, Mark J.",Challenger,"86,579","Visclosky, Peter J.",Incumbent,Libertarian,"4,714","Dunn, Donna",Challenger,N/A,"35,579",D,3.31,37.07,62.93,
House,Indiana,N/A,2012,District 1,1,20120101,"91,291","Phelps, Joel",Challenger,"187,743","Visclosky, Peter J.",Incumbent,N/A,N/A,N/A,N/A,N/A,"96,452",D,0,32.72,67.28,
House,Indiana,N/A,2018,District 2,2,20120101,"125,499","Walorski, Jackie",Incumbent,"103,363","Hall, Mel",Challenger,Write-in,27,"Wolf, Richard",Challenger,N/A,"22,136",R,0.01,54.84,45.16,
House,Indiana,N/A,2016,District 2,2,20120101,"164,355","Walorski, Jackie",Incumbent,"102,401","Coleman, Lynn C.",Challenger,Libertarian,"10,601","Cenkush, Ron",Challenger,N/A,"61,954",R,3.82,61.61,38.39,
House,Indiana,N/A,2014,District 2,2,20120101,"85,583","Walorski, Jackie",Incumbent,"55,590","Bock, Joe",Challenger,Libertarian,"4,027","Petermann, Jeff",Challenger,N/A,"29,993",R,2.77,60.62,39.38,
House,Indiana,N/A,2012,District 2,2,20120101,"134,033","Walorski, Jackie",Challenger,"130,113","Mullen, Brendan",Challenger,Libertarian,"9,326","Ruiz, Joe",Challenger,3,"3,920",R,3.41,50.74,49.26,"The other vote was: Lunce, Kenneth R. Jr. (Write-in) 3"
House,Indiana,N/A,2018,District 3,3,20120101,"158,927","Banks, James",Incumbent,"86,610","Tritch, Courtney",Challenger,N/A,N/A,N/A,N/A,N/A,"72,317",R,0,64.73,35.27,
House,Indiana,N/A,2016,District 3,3,20120101,"201,396","Banks, James",Challenger,"66,023","Schrader, Thomas Allen",Challenger,Libertarian,"19,828","Snyder, Pepper",Challenger,N/A,"135,373",R,6.9,75.31,24.69,
House,Indiana,N/A,2014,District 3,3,20120101,"102,889","Stutzman, Marlin A.",Incumbent,"39,771","Kuhnle, Justin",Challenger,Libertarian,"6,133","Wise, Scott",Challenger,N/A,"63,118",R,4.12,72.12,27.88,
House,Indiana,N/A,2012,District 3,3,20120101,"187,872","Stutzman, Marlin A.",Incumbent,"92,363","Boyd, Kevin",Challenger,N/A,N/A,N/A,N/A,N/A,"95,509",R,0,67.04,32.96,
House,Indiana,N/A,2018,District 4,4,20120101,"156,539","Baird, James",Challenger,"87,824","Beck, Tobi",Challenger,N/A,N/A,N/A,N/A,N/A,"68,715",R,0,64.06,35.94,
House,Indiana,N/A,2016,District 4,4,20120101,"193,412","Rokita, Todd",Incumbent,"91,256","Dale, John",Challenger,Libertarian,"14,766","Mayoras, Steven M.",Challenger,N/A,"102,156",R,4.93,67.94,32.06,
House,Indiana,N/A,2014,District 4,4,20120101,"94,998","Rokita, Todd",Incumbent,"47,056","Dale, John",Challenger,N/A,N/A,N/A,N/A,N/A,"47,942",R,0,66.87,33.13,
House,Indiana,N/A,2012,District 4,4,20120101,"168,688","Rokita, Todd",Incumbent,"93,015","Nelson, Tara E.",Challenger,Libertarian,"10,565","Gehlhausen, Benjamin",Challenger,N/A,"75,673",R,3.88,64.46,35.54,
House,Indiana,N/A,2018,District 5,5,20120101,"180,035","Brooks, Susan",Incumbent,"137,142","Thornton, Dierdre",Challenger,N/A,N/A,N/A,N/A,N/A,"42,893",R,0,56.76,43.24,
House,Indiana,N/A,2016,District 5,5,20120101,"221,957","Brooks, Susan",Incumbent,"123,849","Demaree, Angela",Challenger,Libertarian,"15,329","Wittlief, Matthew",Challenger,N/A,"98,108",R,4.24,64.19,35.81,
House,Indiana,N/A,2014,District 5,5,20120101,"105,277","Brooks, Susan",Incumbent,"49,756","Denney, Shawn A.",Challenger,Libertarian,"6,407","Krom, John",Challenger,N/A,"55,521",R,3.97,67.91,32.09,
House,Indiana,N/A,2012,District 5,5,20120101,"194,570","Brooks, Susan",Challenger,"125,347","Reske, Scott",Challenger,Libertarian,"13,442","Reid, Chard",Challenger,N/A,"69,223",R,4.03,60.82,39.18,
House,Indiana,N/A,2018,District 6,6,20120101,"154,260","Pence, Gregory",Challenger,"79,430","Lake, Jeannine",Challenger,Libertarian,"8,030","Ferkinhoff, Tom",Challenger,6,"74,830",R,3.32,66.01,33.99,"The other vote was: Miller, John (Write-in) 5; Meloy, Heather Leigh (Write-in) 1"
House,Indiana,N/A,2016,District 6,6,20120101,"204,920","Messer, Luke",Incumbent,"79,135","Welsh, Barry A.",Challenger,Libertarian,"12,330","Turvey, Rich",Challenger,N/A,"125,785",R,4.16,72.14,27.86,
House,Indiana,N/A,2014,District 6,6,20120101,"102,187","Messer, Luke",Incumbent,"45,509","Heitzman, Susan Hall",Challenger,Libertarian,"7,375","Miller, Eric",Challenger,N/A,"56,678",R,4.76,69.19,30.81,
House,Indiana,N/A,2012,District 6,6,20120101,"162,613","Messer, Luke",Challenger,"96,678","Bookout, Brad",Challenger,Libertarian,"15,962","Bell, Rex",Challenger,N/A,"65,935",R,5.8,62.71,37.29,
House,Indiana,N/A,2018,District 7,7,20120101,"76,457","Harmon, Wayne E.",Challenger,"141,139","Carson, Andre D.",Incumbent,N/A,N/A,N/A,N/A,N/A,"64,682",D,0,35.14,64.86,
House,Indiana,N/A,2016,District 7,7,20120101,"94,456","Ping, Catherine",Challenger,"158,739","Carson, Andre D.",Incumbent,Libertarian,"11,475","Thompson, Drew",Challenger,N/A,"64,283",D,4.34,37.31,62.69,
House,Indiana,N/A,2014,District 7,7,20120101,"46,887","Ping, Catherine",Challenger,"61,443","Carson, Andre D.",Incumbent,Libertarian,"3,931","Mayo, Chris",Challenger,N/A,"14,556",D,3.5,43.28,56.72,
